Time,Epoch,Step,Loss
2022-06-01 20:54:48,0,0,1.398286
2022-06-01 20:55:05,0,1,1.479077
2022-06-01 20:57:47,1,2,1.316834
2022-06-01 20:58:08,1,3,1.202168
2022-06-01 21:01:09,2,4,1.179474
2022-06-01 21:01:29,2,5,1.288168
2022-06-01 21:03:52,3,6,1.057614
2022-06-01 21:04:10,3,7,1.178768
2022-06-01 21:06:02,4,8,1.082099
2022-06-01 21:06:21,4,9,0.915970
2022-06-01 21:08:03,5,10,0.883701
2022-06-01 21:08:20,5,11,0.910001
2022-06-01 21:09:53,6,12,0.866560
2022-06-01 21:10:10,6,13,0.762957
2022-06-01 21:11:48,7,14,0.859775
2022-06-01 21:12:06,7,15,0.519851
2022-06-01 21:13:36,8,16,0.704084
2022-06-01 21:13:54,8,17,0.596629
2022-06-01 21:15:48,9,18,0.564968
2022-06-01 21:16:05,9,19,0.642278
2022-06-01 21:17:50,10,20,0.562932
2022-06-01 21:18:08,10,21,0.596987
2022-06-01 21:20:06,11,22,0.551757
2022-06-01 21:20:24,11,23,0.524080
2022-06-01 21:22:23,12,24,0.429540
2022-06-01 21:22:41,12,25,0.439745
2022-06-01 21:24:36,13,26,0.369495
2022-06-01 21:24:53,13,27,0.336853
2022-06-01 21:26:34,14,28,0.316170
2022-06-01 21:26:52,14,29,0.226973
2022-06-01 21:28:49,15,30,0.261927
2022-06-01 21:29:07,15,31,0.327042
2022-06-01 21:30:53,16,32,0.282684
2022-06-01 21:31:11,16,33,0.139775
2022-06-01 21:32:54,17,34,0.197837
2022-06-01 21:33:15,17,35,0.197992
2022-06-01 21:34:56,18,36,0.200799
2022-06-01 21:35:15,18,37,0.081312
2022-06-01 21:36:56,19,38,0.130379
2022-06-01 21:37:14,19,39,0.163634
2022-06-01 21:39:19,20,40,0.081903
2022-06-01 21:39:36,20,41,0.116372
2022-06-01 21:41:29,21,42,0.109735
2022-06-01 21:41:46,21,43,0.107802
2022-06-01 21:43:38,22,44,0.092978
2022-06-01 21:43:56,22,45,0.080604
2022-06-01 21:45:48,23,46,0.084961
2022-06-01 21:46:05,23,47,0.072373
2022-06-01 21:47:42,24,48,0.060640
2022-06-01 21:48:00,24,49,0.073771
2022-06-01 21:50:07,25,50,0.039402
2022-06-01 21:50:25,25,51,0.074169
2022-06-01 21:52:13,26,52,0.042913
2022-06-01 21:52:32,26,53,0.035213
2022-06-01 21:54:17,27,54,0.042833
2022-06-01 21:54:35,27,55,0.030803
2022-06-01 21:56:40,28,56,0.032061
2022-06-01 21:56:58,28,57,0.029119
2022-06-01 21:59:14,29,58,0.036846
2022-06-01 21:59:33,29,59,0.020882
2022-06-01 22:01:20,30,60,0.024858
2022-06-01 22:01:40,30,61,0.034905
2022-06-01 22:03:48,31,62,0.020206
2022-06-01 22:04:06,31,63,0.025363
2022-06-01 22:05:50,32,64,0.022077
2022-06-01 22:06:08,32,65,0.014075
2022-06-01 22:07:52,33,66,0.023336
2022-06-01 22:08:10,33,67,0.013232
2022-06-01 22:10:15,34,68,0.017236
2022-06-01 22:10:33,34,69,0.012075
2022-06-01 22:12:26,35,70,0.012706
2022-06-01 22:12:44,35,71,0.014752
2022-06-01 22:15:01,36,72,0.010835
2022-06-01 22:15:19,36,73,0.012665
2022-06-01 22:17:28,37,74,0.009576
2022-06-01 22:17:46,37,75,0.013878
2022-06-01 22:20:11,38,76,0.009643
2022-06-01 22:20:28,38,77,0.009931
2022-06-01 22:22:23,39,78,0.008110
2022-06-01 22:22:41,39,79,0.008286
2022-06-01 22:24:30,40,80,0.007825
2022-06-01 22:24:48,40,81,0.007953
2022-06-01 22:26:33,41,82,0.007986
2022-06-01 22:26:52,41,83,0.006301
2022-06-01 22:28:52,42,84,0.006151
2022-06-01 22:29:10,42,85,0.007652
2022-06-01 22:31:19,43,86,0.005893
2022-06-01 22:31:40,43,87,0.007590
2022-06-01 22:33:48,44,88,0.005845
2022-06-01 22:34:07,44,89,0.008002
2022-06-01 22:36:06,45,90,0.005646
2022-06-01 22:36:25,45,91,0.005563
2022-06-01 22:38:47,46,92,0.004987
2022-06-01 22:39:05,46,93,0.004747
2022-06-01 22:41:20,47,94,0.004781
2022-06-01 22:41:38,47,95,0.005331
2022-06-01 22:43:34,48,96,0.005098
2022-06-01 22:43:53,48,97,0.003799
2022-06-01 22:45:50,49,98,0.005164
2022-06-01 22:46:09,49,99,0.005021
2022-06-01 22:48:35,50,100,0.004737
2022-06-01 22:48:54,50,101,0.003588
2022-06-01 22:50:44,51,102,0.005545
2022-06-01 22:51:02,51,103,0.004395
2022-06-01 22:52:59,52,104,0.004684
2022-06-01 22:53:19,52,105,0.004553
2022-06-01 22:55:20,53,106,0.004425
2022-06-01 22:55:39,53,107,0.003618
2022-06-01 22:57:27,54,108,0.004605
2022-06-01 22:57:45,54,109,0.005116
2022-06-01 22:59:59,55,110,0.005766
2022-06-01 23:00:17,55,111,0.002589
2022-06-01 23:02:02,56,112,0.003505
2022-06-01 23:02:24,56,113,0.003256
2022-06-01 23:04:30,57,114,0.004316
2022-06-01 23:04:49,57,115,0.003215
2022-06-01 23:06:44,58,116,0.003888
2022-06-01 23:07:03,58,117,0.004138
2022-06-01 23:09:20,59,118,0.003042
2022-06-01 23:09:40,59,119,0.003907
2022-06-01 23:11:36,60,120,0.003707
2022-06-01 23:11:54,60,121,0.003710
2022-06-01 23:13:40,61,122,0.003840
2022-06-01 23:14:03,61,123,0.003034
2022-06-01 23:16:37,62,124,0.003377
2022-06-01 23:16:57,62,125,0.003777
2022-06-01 23:19:08,63,126,0.003639
2022-06-01 23:19:27,63,127,0.004000
2022-06-01 23:21:19,64,128,0.002950
2022-06-01 23:21:40,64,129,0.003459
2022-06-01 23:24:11,65,130,0.003160
2022-06-01 23:24:31,65,131,0.004238
2022-06-01 23:26:33,66,132,0.004074
2022-06-01 23:26:52,66,133,0.003621
2022-06-01 23:28:43,67,134,0.003019
2022-06-01 23:29:03,67,135,0.003016
2022-06-01 23:30:51,68,136,0.003431
2022-06-01 23:31:11,68,137,0.003027
2022-06-01 23:33:26,69,138,0.002585
2022-06-01 23:33:45,69,139,0.002409
2022-06-01 23:35:32,70,140,0.002845
2022-06-01 23:35:50,70,141,0.002621
2022-06-01 23:37:51,71,142,0.003271
2022-06-01 23:38:08,71,143,0.002617
2022-06-01 23:39:54,72,144,0.002709
2022-06-01 23:40:12,72,145,0.002590
2022-06-01 23:41:59,73,146,0.003014
2022-06-01 23:42:18,73,147,0.002538
2022-06-01 23:44:17,74,148,0.003440
2022-06-01 23:44:35,74,149,0.002282
2022-06-01 23:46:22,75,150,0.002410
2022-06-01 23:46:40,75,151,0.002293
2022-06-01 23:48:42,76,152,0.002569
2022-06-01 23:49:01,76,153,0.002023
2022-06-01 23:51:07,77,154,0.002613
2022-06-01 23:51:24,77,155,0.001645
2022-06-01 23:53:33,78,156,0.002297
2022-06-01 23:53:51,78,157,0.001743
2022-06-01 23:55:44,79,158,0.002239
2022-06-01 23:56:03,79,159,0.001628
2022-06-01 23:57:51,80,160,0.002516
2022-06-01 23:58:11,80,161,0.001564
2022-06-01 23:59:59,81,162,0.002147
2022-06-02 00:00:19,81,163,0.002714
2022-06-02 00:02:12,82,164,0.002323
2022-06-02 00:02:30,82,165,0.002082
2022-06-02 00:04:23,83,166,0.002140
2022-06-02 00:04:42,83,167,0.002118
2022-06-02 00:06:32,84,168,0.002145
2022-06-02 00:06:52,84,169,0.002013
2022-06-02 00:08:49,85,170,0.002386
2022-06-02 00:09:09,85,171,0.001539
2022-06-02 00:10:58,86,172,0.002136
2022-06-02 00:11:16,86,173,0.001673
2022-06-02 00:13:06,87,174,0.001972
2022-06-02 00:13:25,87,175,0.001681
2022-06-02 00:15:04,88,176,0.002238
2022-06-02 00:15:23,88,177,0.001174
2022-06-02 00:17:14,89,178,0.001810
2022-06-02 00:17:32,89,179,0.001655
2022-06-02 00:19:18,90,180,0.001841
2022-06-02 00:19:36,90,181,0.001635
2022-06-02 00:21:30,91,182,0.001599
2022-06-02 00:21:50,91,183,0.001882
2022-06-02 00:24:50,92,184,0.001663
2022-06-02 00:25:10,92,185,0.001913
2022-06-02 00:27:51,93,186,0.001503
2022-06-02 00:28:11,93,187,0.001567
2022-06-02 00:30:12,94,188,0.001992
2022-06-02 00:30:29,94,189,0.002094
2022-06-02 00:32:52,95,190,0.001743
2022-06-02 00:33:12,95,191,0.001708
