Learning_Rate,Other_Learning_Rate,Batch_Size,Total_Epoch,Iterasi,Total_Step,Dropout_Prob,Epoch Ke-,Step Ke-,Loss,Accuracy,Micro_F-1,Macro_F-1,Precision,,,,,,Recall,,,,,,F-1_Score,,,,,,,Eksekusi_Time,Processor
,,,,,,,,,,,,,Cause Of Desease,Treatment Of Desease,Negative,Association,Macro Avg,Weighted Avg,Cause Of Desease,Treatment Of Desease,Negative,Association,Macro Avg,Weighted Avg,Cause Of Desease,Treatment Of Desease,Negative,Association,Accuracy,Macro Avg,Weighted Avg,,
"0,00001","0,0001",2,100,23,2300,0.0,27,626,"12,256204","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",17 menit 39 detik,Tesla T4
"0,00001","0,0001",4,100,12,1200,0.0,46,560,"6,221192","0,5455","0,5455","0,6179","0,50","0,50","0,50","1,00","0,62","0,55","0,50","0,33","0,67","1,00","0,62","0,55","0,50","0,40","0,57","1,00","0,55","0,62","0,54",9 menit 18 detik,Tesla T4
"0,00001","0,0001",8,100,6,600,0.0,77,463,"3,354029","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",5 menit 58 detik,Tesla T4
"0,00001","0,0001",16,100,3,300,0.0,48,144,"2,097092","0,4545","0,4545","0,5444","0,40","0,33","0,50","1,00","0,56","0,46","0,50","0,33","0,33","1,00","0,54","0,45","0,44","0,33","0,40","1,00","0,45","0,54","0,45",3 menit 46 detik,Tesla T4
"0,00001","0,0001",32,100,2,200,0.0,42,85,"1,963895","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",3 menit 31 detik,Tesla T4
"0,00001","0,0001",64,1000,1,1000,0.0,296,296,"2,453533","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",22 menit 17 detik,Tesla T4
"0,00001","0,0001",2,100,23,2300,"0,1",21,497,"13,992310","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",15 menit 55 detik,Tesla T4
"0,00001","0,0001",4,100,12,1200,"0,1",57,691,"6,613250","0,5455","0,5455","0,6278","0,40","0,50","0,67","1,00","0,64","0,55","0,50","0,33","0,67","1,00","0,62","0,55","0,44","0,40","0,67","1,00","0,55","0,63","0,54",9 menit 22 detik,Tesla T4
"0,00001","0,0001",8,100,6,600,"0,1",42,254,"2,730263","0,5455","0,5455","0,6278","0,40","0,50","0,67","1,00","0,64","0,55","0,50","0,33","0,67","1,00","0,62","0,55","0,44","0,40","0,67","1,00","0,55","0,63","0,54",6 menit 1 detik,Tesla T4
"0,00001","0,0001",16,100,3,300,"0,1",50,150,"2,330101","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",4 menit 16 detik,Tesla T4
"0,00001","0,0001",32,100,2,200,"0,1",53,107,"2,079075","0,4545","0,4545","0,5444","0,40","0,33","0,50","1,00","0,56","0,46","0,50","0,33","0,33","1,00","0,54","0,45","0,44","0,33","0,40","1,00","0,45","0,54","0,45",3 menit 36 detik,Tesla T4
"0,00001","0,0001",64,1000,1,1000,"0,1",66,66,"2,055619","0,4545","0,4545","0,5444","0,40","0,33","0,50","1,00","0,56","0,46","0,50","0,33","0,33","1,00","0,54","0,45","0,44","0,33","0,40","1,00","0,45","0,54","0,45",21 menit 3 detik,Tesla T4
"0,00001","0,0001",2,100,23,2300,"0,8",73,1693,"12,885095","0,6364","0,6364","0,7000","0,50","0,50","1,00","1,00","0,75","0,68","0,75","0,33","0,67","1,00","0,69","0,64","0,60","0,40","0,80","1,00","0,64","0,70","0,64",16 menit 40 detik,Tesla T4
"0,00001","0,0001",4,100,12,1200,"0,8",80,963,"7,292273","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",8 menit 38 detik,Tesla T4
"0,00001","0,0001",8,100,6,600,"0,8",74,448,"3,728742","0,3636","0,3636","0,4464","0,50","0,25","0,00","1,00","0,44","0,34","0,50","0,33","0,00","1,00","0,46","0,36","0,50","0,29","0,00","1,00","0,36","0,45","0,35",5 menit 46 detik,Tesla T4
"0,00001","0,0001",16,100,3,300,"0,8",72,217,"2,105665","0,4545","0,4545","0,3583","0,50","0,33","1,00","0,00","0,46","0,55","0,75","0,33","0,33","0,00","0,35","0,45","0,60","0,33","0,50","0,00","0,45","0,36","0,45",4 menit 8 detik,Tesla T4
"0,00001","0,0001",32,100,2,200,"0,8",8,16,"1,317515","0,5455","0,5455","0,4179","0,50","0,50","1,00","0,00","0,50","0,59","0,75","0,67","0,33","0,00","0,44","0,55","0,60","0,57","0,50","0,00","0,55","0,42","0,51",3 menit 23 detik,Tesla T4
"0,00001","0,0001",64,1000,1,1000,"0,8",582,582,"3,202182","0,4545","0,4545","0,5476",0.67,"0,33","0,25","1,00","0,56","0,49","0,50","0,33","0,33","1,00","0,54","0,45","0,57","0,33","0,29","1,00","0,45","0,55","0,47",22 menit 53 detik,Tesla T4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
