Time,Epoch,Step,Loss
2022-06-14 20:23:22,0,0,1.589890
2022-06-14 20:23:48,0,1,1.241251
2022-06-14 20:23:48,0,2,1.209909
2022-06-14 20:23:55,0,3,1.111896
2022-06-14 20:23:55,0,4,1.285681
2022-06-14 20:23:56,0,5,1.257514
2022-06-14 20:23:57,1,6,0.904309
2022-06-14 20:24:03,1,7,1.071802
2022-06-14 20:24:04,1,8,1.265522
2022-06-14 20:24:05,1,9,0.975418
2022-06-14 20:24:05,1,10,1.104215
2022-06-14 20:24:06,1,11,1.035486
2022-06-14 20:24:07,2,12,1.071659
2022-06-14 20:24:14,2,13,1.132218
2022-06-14 20:24:20,2,14,0.912170
2022-06-14 20:24:21,2,15,1.062944
2022-06-14 20:24:21,2,16,0.975232
2022-06-14 20:24:22,2,17,1.015122
2022-06-14 20:24:23,3,18,0.806850
2022-06-14 20:24:24,3,19,0.912446
2022-06-14 20:24:24,3,20,1.033027
2022-06-14 20:24:25,3,21,0.903190
2022-06-14 20:24:26,3,22,0.920783
2022-06-14 20:24:26,3,23,0.988978
2022-06-14 20:24:27,4,24,0.856358
2022-06-14 20:24:34,4,25,0.789085
2022-06-14 20:24:41,4,26,0.686653
2022-06-14 20:24:47,4,27,0.860933
2022-06-14 20:24:53,4,28,0.829598
2022-06-14 20:25:00,4,29,0.908291
2022-06-14 20:25:01,5,30,0.707816
2022-06-14 20:25:07,5,31,0.846894
2022-06-14 20:25:08,5,32,0.741764
2022-06-14 20:25:09,5,33,0.683625
2022-06-14 20:25:09,5,34,0.677077
2022-06-14 20:25:10,5,35,0.695792
2022-06-14 20:25:11,6,36,0.627030
2022-06-14 20:25:12,6,37,0.659725
2022-06-14 20:25:12,6,38,0.562834
2022-06-14 20:25:13,6,39,0.602539
2022-06-14 20:25:14,6,40,0.834637
2022-06-14 20:25:14,6,41,0.659807
2022-06-14 20:25:15,7,42,0.577501
2022-06-14 20:25:16,7,43,0.505387
2022-06-14 20:25:22,7,44,0.593393
2022-06-14 20:25:23,7,45,0.542619
2022-06-14 20:25:24,7,46,0.588456
2022-06-14 20:25:24,7,47,0.801802
2022-06-14 20:25:31,8,48,0.579628
2022-06-14 20:25:32,8,49,0.548876
2022-06-14 20:25:39,8,50,0.508850
2022-06-14 20:25:46,8,51,0.619724
2022-06-14 20:25:47,8,52,0.500705
2022-06-14 20:25:53,8,53,0.402380
2022-06-14 20:25:54,9,54,0.495621
2022-06-14 20:25:55,9,55,0.510127
2022-06-14 20:25:56,9,56,0.440488
2022-06-14 20:25:56,9,57,0.568017
2022-06-14 20:25:57,9,58,0.427561
2022-06-14 20:25:58,9,59,0.383694
2022-06-14 20:25:59,10,60,0.331999
2022-06-14 20:25:59,10,61,0.320929
2022-06-14 20:26:06,10,62,0.419366
2022-06-14 20:26:13,10,63,0.312112
2022-06-14 20:26:13,10,64,0.514884
2022-06-14 20:26:14,10,65,0.506311
2022-06-14 20:26:15,11,66,0.358021
2022-06-14 20:26:16,11,67,0.263068
2022-06-14 20:26:16,11,68,0.409576
2022-06-14 20:26:17,11,69,0.346987
2022-06-14 20:26:18,11,70,0.473062
2022-06-14 20:26:18,11,71,0.272567
2022-06-14 20:26:19,12,72,0.265126
2022-06-14 20:26:20,12,73,0.302718
2022-06-14 20:26:21,12,74,0.355789
2022-06-14 20:26:27,12,75,0.335604
2022-06-14 20:26:28,12,76,0.279267
2022-06-14 20:26:28,12,77,0.333133
2022-06-14 20:26:29,13,78,0.297279
2022-06-14 20:26:30,13,79,0.221405
2022-06-14 20:26:31,13,80,0.201046
2022-06-14 20:26:31,13,81,0.268483
2022-06-14 20:26:32,13,82,0.236815
2022-06-14 20:26:33,13,83,0.197908
2022-06-14 20:26:34,14,84,0.178150
2022-06-14 20:26:34,14,85,0.200603
2022-06-14 20:26:35,14,86,0.242593
2022-06-14 20:26:36,14,87,0.178265
2022-06-14 20:26:36,14,88,0.207996
2022-06-14 20:26:37,14,89,0.282338
2022-06-14 20:26:38,15,90,0.207479
2022-06-14 20:26:39,15,91,0.216514
2022-06-14 20:26:40,15,92,0.162430
2022-06-14 20:26:40,15,93,0.164806
2022-06-14 20:26:41,15,94,0.197029
2022-06-14 20:26:42,15,95,0.104945
2022-06-14 20:26:43,16,96,0.135933
2022-06-14 20:26:43,16,97,0.155176
2022-06-14 20:26:44,16,98,0.187687
2022-06-14 20:26:45,16,99,0.085078
2022-06-14 20:26:46,16,100,0.119688
2022-06-14 20:26:46,16,101,0.120120
2022-06-14 20:26:47,17,102,0.164234
2022-06-14 20:26:48,17,103,0.087255
2022-06-14 20:26:49,17,104,0.097772
2022-06-14 20:26:49,17,105,0.114690
2022-06-14 20:26:50,17,106,0.098162
2022-06-14 20:26:57,17,107,0.175428
2022-06-14 20:26:58,18,108,0.095212
2022-06-14 20:26:58,18,109,0.115651
2022-06-14 20:27:05,18,110,0.089820
2022-06-14 20:27:06,18,111,0.103753
2022-06-14 20:27:06,18,112,0.094976
2022-06-14 20:27:07,18,113,0.080629
2022-06-14 20:27:08,19,114,0.087623
2022-06-14 20:27:09,19,115,0.101121
2022-06-14 20:27:09,19,116,0.110139
2022-06-14 20:27:10,19,117,0.079885
2022-06-14 20:27:11,19,118,0.072739
2022-06-14 20:27:11,19,119,0.099516
2022-06-14 20:27:12,20,120,0.089679
2022-06-14 20:27:13,20,121,0.071963
2022-06-14 20:27:14,20,122,0.087489
2022-06-14 20:27:20,20,123,0.074756
2022-06-14 20:27:21,20,124,0.072102
2022-06-14 20:27:27,20,125,0.054893
2022-06-14 20:27:28,21,126,0.086473
2022-06-14 20:27:35,21,127,0.069661
2022-06-14 20:27:35,21,128,0.053282
2022-06-14 20:27:36,21,129,0.046655
2022-06-14 20:27:37,21,130,0.034176
2022-06-14 20:27:37,21,131,0.103979
2022-06-14 20:27:38,22,132,0.060701
2022-06-14 20:27:39,22,133,0.041663
2022-06-14 20:27:40,22,134,0.060557
2022-06-14 20:27:40,22,135,0.105039
2022-06-14 20:27:41,22,136,0.032833
2022-06-14 20:27:42,22,137,0.078520
2022-06-14 20:27:42,23,138,0.053567
2022-06-14 20:27:43,23,139,0.031709
2022-06-14 20:27:44,23,140,0.041470
2022-06-14 20:27:45,23,141,0.085588
2022-06-14 20:27:45,23,142,0.087274
2022-06-14 20:27:46,23,143,0.050075
2022-06-14 20:27:47,24,144,0.024856
2022-06-14 20:27:48,24,145,0.046370
2022-06-14 20:27:54,24,146,0.057459
2022-06-14 20:27:55,24,147,0.072334
2022-06-14 20:27:55,24,148,0.063380
2022-06-14 20:27:56,24,149,0.070265
2022-06-14 20:27:57,25,150,0.052556
2022-06-14 20:27:58,25,151,0.062516
2022-06-14 20:27:58,25,152,0.017514
2022-06-14 20:27:59,25,153,0.031432
2022-06-14 20:28:00,25,154,0.084530
2022-06-14 20:28:00,25,155,0.028977
2022-06-14 20:28:01,26,156,0.047306
2022-06-14 20:28:02,26,157,0.045066
2022-06-14 20:28:02,26,158,0.064768
2022-06-14 20:28:03,26,159,0.058653
2022-06-14 20:28:04,26,160,0.029163
2022-06-14 20:28:05,26,161,0.015474
2022-06-14 20:28:05,27,162,0.040912
2022-06-14 20:28:06,27,163,0.043714
2022-06-14 20:28:07,27,164,0.057403
2022-06-14 20:28:08,27,165,0.023924
2022-06-14 20:28:08,27,166,0.038279
2022-06-14 20:28:09,27,167,0.020991
2022-06-14 20:28:10,28,168,0.070631
2022-06-14 20:28:11,28,169,0.026632
2022-06-14 20:28:11,28,170,0.029017
2022-06-14 20:28:12,28,171,0.020538
2022-06-14 20:28:13,28,172,0.026093
2022-06-14 20:28:14,28,173,0.016798
2022-06-14 20:28:15,29,174,0.032217
2022-06-14 20:28:15,29,175,0.096026
2022-06-14 20:28:16,29,176,0.053123
2022-06-14 20:28:17,29,177,0.019826
2022-06-14 20:28:17,29,178,0.014132
2022-06-14 20:28:18,29,179,0.030907
2022-06-14 20:28:19,30,180,0.045191
2022-06-14 20:28:20,30,181,0.011509
2022-06-14 20:28:20,30,182,0.014685
2022-06-14 20:28:21,30,183,0.016358
2022-06-14 20:28:22,30,184,0.028570
2022-06-14 20:28:23,30,185,0.073638
2022-06-14 20:28:23,31,186,0.066142
2022-06-14 20:28:24,31,187,0.025480
2022-06-14 20:28:25,31,188,0.026849
2022-06-14 20:28:26,31,189,0.025413
2022-06-14 20:28:26,31,190,0.032094
2022-06-14 20:28:27,31,191,0.014236
2022-06-14 20:28:28,32,192,0.016494
2022-06-14 20:28:29,32,193,0.032604
2022-06-14 20:28:29,32,194,0.017767
2022-06-14 20:28:30,32,195,0.035558
2022-06-14 20:28:31,32,196,0.010622
2022-06-14 20:28:31,32,197,0.016363
2022-06-14 20:28:32,33,198,0.014394
2022-06-14 20:28:33,33,199,0.026328
2022-06-14 20:28:33,33,200,0.039778
2022-06-14 20:28:34,33,201,0.011399
2022-06-14 20:28:35,33,202,0.046830
2022-06-14 20:28:35,33,203,0.014153
2022-06-14 20:28:36,34,204,0.011996
2022-06-14 20:28:37,34,205,0.031105
2022-06-14 20:28:38,34,206,0.013204
2022-06-14 20:28:38,34,207,0.038360
2022-06-14 20:28:39,34,208,0.012805
2022-06-14 20:28:40,34,209,0.012478
2022-06-14 20:28:41,35,210,0.034044
2022-06-14 20:28:41,35,211,0.029383
2022-06-14 20:28:42,35,212,0.015667
2022-06-14 20:28:43,35,213,0.015340
2022-06-14 20:28:43,35,214,0.024779
2022-06-14 20:28:44,35,215,0.011186
2022-06-14 20:28:45,36,216,0.021015
2022-06-14 20:28:46,36,217,0.028909
2022-06-14 20:28:46,36,218,0.014836
2022-06-14 20:28:47,36,219,0.018298
2022-06-14 20:28:48,36,220,0.015153
2022-06-14 20:28:48,36,221,0.022466
2022-06-14 20:28:49,37,222,0.010216
2022-06-14 20:28:50,37,223,0.035494
2022-06-14 20:28:51,37,224,0.008223
2022-06-14 20:28:51,37,225,0.018757
2022-06-14 20:28:52,37,226,0.010616
2022-06-14 20:28:53,37,227,0.047072
2022-06-14 20:28:53,38,228,0.020505
2022-06-14 20:28:54,38,229,0.011851
2022-06-14 20:28:55,38,230,0.013132
2022-06-14 20:28:55,38,231,0.017661
2022-06-14 20:28:56,38,232,0.009477
2022-06-14 20:28:57,38,233,0.014154
